Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,Klasa
3.19853265148,8.63023585922,11.157475781,13.7401402659,26.2650025094,18.2266856689,-26.4536821379,1
3.16444241043,7.96408384113,10.2827797122,12.2177896839,-23.9877959535,-16.6510655728,-23.4888684427,1
3.17952249715,8.33888001409,10.4899387799,12.4606849568,-24.0211677072,-16.644933164,24.180423704,1
3.19807512543,8.37003505112,11.7680344879,15.3581937589,-28.9420458498,19.6666813219,-29.4415884131,1
3.19955255602,8.56335732092,11.658972385,15.4376645782,29.1502498147,-20.6970768238,-29.1235655623,1
3.16872244915,7.84884694186,10.3687115354,12.2136677635,23.719761696,16.5375445242,-23.6057735496,1
3.18047470406,8.23393786209,10.5526858439,12.3025673636,-24.2094635299,-16.8989653472,-23.7555031784,1
3.19428502977,7.84439615665,11.9298824529,14.2307205127,27.6310790743,18.2539945999,27.367502286,1
3.19819779702,9.03172045335,11.4824913359,14.199726997,27.0701072248,-18.7310507237,-27.4904652388,1
3.19903271537,8.33871820031,11.8367773191,14.9902361394,-28.4817578285,19.1942263979,-28.6638719567,1
3.16527105311,7.46758179218,10.4363670768,11.9423298172,23.1464516692,15.6764213524,23.7226599439,1
3.19807077225,8.43574229997,11.4064301141,13.8381768664,-26.9786055041,-18.2727776499,-26.4814355011,1
3.19914798327,8.43338378647,11.4483997976,13.8288940017,-26.5077961925,-18.0520773081,-26.8533233649,1
3.19971260943,8.87109699893,11.1922887748,15.4042804386,-28.812570223,-19.9719497383,28.9029211823,1
3.19950089622,9.31802533108,11.1877791697,13.8343894925,27.2571305553,-18.9473816141,-26.348760244,1
3.19307882135,8.07875848598,10.9274814597,13.2891623446,25.70384601,-18.1565918137,25.4582050598,1
3.1721879585,7.85764963657,10.5748833237,12.108996346,23.9367926747,16.0910391913,-23.4754448366,1
3.17860333549,8.14283224861,10.4800501861,12.4032437128,-23.9448529952,-16.5833087767,24.0614167938,1
3.17355110698,7.88347695268,10.5277957197,12.2212770874,23.9172493084,16.5129952526,-23.6518858919,1
3.18107696646,8.27378617486,10.5499850241,12.6185767467,-24.2189903766,-16.7763218948,24.7753970964,1
3.08694330572,7.84312646592,10.7018115071,12.5410613622,-24.4046219456,16.6565414093,-24.2487833583,2
2.9849114763,6.8331343747,9.73273268291,10.6013662642,-21.0308879301,-14.034850472,20.84542558,2
3.08538476896,7.50099949498,10.0682775509,11.3829535424,-23.6556196187,-15.5387288066,22.1087440044,2
3.03582327306,7.79687785092,9.69865762274,10.9498618272,-21.289520029,-15.1339232419,-21.8564135704,2
3.04588033415,8.37150781175,9.73148723317,10.806620952,21.3376780795,15.099604012,21.1528849022,2
3.03516425429,7.80247817375,9.79334615455,11.1150845825,22.9475332017,15.4473844696,-21.5696807262,2
